report_date,line_no,label,usage,bandwidth_mbps,peak_bw_mbps,avg_bw_mbps,peak_util_pct,avg_util_pct,latency_avg_ms,bw_peak_baseline_mbps,latency_baseline_ms,threshold_bw_mbps
2026-06-05,5,#5 电信,北京单场售票,20,2.75,0.49,0.27,0.04810909090909091,7.4,1.58,7.93,16.0
2026-06-06,5,#5 电信,北京单场售票,20,3.58,0.59,0.36,0.05932960893854748,7.82,2.16,7.66,16.0
2026-06-07,5,#5 电信,北京单场售票,20,2.29,0.55,0.23,0.05524017467248909,7.72,2.87,7.74,16.0
2026-06-08,5,#5 电信,北京单场售票,20,1.32,0.48,6.6,2.4,7.42,2.58,7.73,16.0
2026-06-09,5,#5 电信,北京单场售票,20,1.37,0.47,6.85,2.349999999999999,7.8,1.95,7.57,16.0
2026-06-10,5,#5 电信,北京单场售票,20,2.33,0.52,11.64,2.5977682403433477,7.73,1.66,7.68,16.0
2026-06-11,5,#5 电信,北京单场售票,20,1.9,0.51,9.51,2.5526842105263166,7.65,1.99,7.71,16.0
2026-06-05,6,#6 联通,北京单场售票,20,3.45,0.5,17.26,2.501449275362319,7.99,1.9,8.02,16.0
2026-06-06,6,#6 联通,北京单场售票,20,4.3,0.62,21.53,3.1043255813953494,8.72,2.68,8.0,16.0
2026-06-07,6,#6 联通,北京单场售票,20,2.9,0.57,14.49,2.8480344827586204,8.07,3.49,8.36,16.0
2026-06-08,6,#6 联通,北京单场售票,20,1.68,0.49,8.42,2.4558333333333335,8.11,3.19,8.21,16.0
2026-06-09,6,#6 联通,北京单场售票,20,1.67,0.47,8.37,2.35562874251497,8.41,2.44,8.16,16.0
2026-06-10,6,#6 联通,北京单场售票,20,2.8,0.52,14.01,2.6018571428571433,8.12,2.06,8.28,16.0
2026-06-11,6,#6 联通,北京单场售票,20,2.08,0.51,10.4,2.5558285714285716,8.36,2.43,8.2,16.0
2026-06-05,151,#151 电信,混合云TLS售票-腾讯公有云,20,11.23,6.94,28.08,17.3565595463138,4.09,10.79,4.09,16.0
2026-06-06,151,#151 电信,混合云TLS售票-腾讯公有云,20,13.56,7.8,33.91,19.50575221238938,4.19,11.01,4.09,16.0
2026-06-07,151,#151 电信,混合云TLS售票-腾讯公有云,40,9.35,6.8,23.39,17.01090909090909,4.11,12.29,4.14,32.0
2026-06-08,151,#151 电信,混合云TLS售票-腾讯公有云,40,12.17,7.65,30.42,19.128211586901763,4.08,10.82,4.13,32.0
2026-06-09,151,#151 电信,混合云TLS售票-腾讯公有云,40,11.35,7.29,28.37,18.21846774193548,4.2,11.5,4.1,32.0
2026-06-10,151,#151 电信,混合云TLS售票-腾讯公有云,40,11.75,7.69,29.37,19.225,4.12,11.42,4.15,32.0
2026-06-11,151,#151 电信,混合云TLS售票-腾讯公有云,40,12.01,8.06,30.02,20.14301559792028,4.18,11.58,4.14,32.0
2026-06-05,152,#152 联通,混合云TLS售票-腾讯公有云,20,11.21,7.01,28.04,17.53160075329567,4.63,10.78,4.62,16.0
2026-06-06,152,#152 联通,混合云TLS售票-腾讯公有云,20,13.63,7.89,34.07,19.72199543031226,4.69,11.0,4.63,16.0
2026-06-07,152,#152 联通,混合云TLS售票-腾讯公有云,40,9.25,6.78,23.13,16.957353579175706,4.71,12.31,4.66,32.0
2026-06-08,152,#152 联通,混合云TLS售票-腾讯公有云,40,11.9,7.62,29.76,19.046784810126585,4.64,10.78,4.68,32.0
2026-06-09,152,#152 联通,混合云TLS售票-腾讯公有云,40,11.42,7.26,28.54,18.156505376344086,4.63,11.34,4.66,32.0
2026-06-10,152,#152 联通,混合云TLS售票-腾讯公有云,40,11.95,7.76,29.88,19.40324686192469,4.7,11.38,4.65,32.0
2026-06-11,152,#152 联通,混合云TLS售票-腾讯公有云,40,11.9,8.03,29.75,20.074999999999996,4.68,11.66,4.67,32.0
2026-06-05,153,#153 电信,混合云TLS售票-阿里公有云,20,9.92,6.1,24.79,15.240065146579804,6.37,9.9,6.34,16.0
2026-06-06,153,#153 电信,混合云TLS售票-阿里公有云,20,12.79,7.12,31.96,17.805953177257525,6.32,9.91,6.36,16.0
2026-06-07,153,#153 电信,混合云TLS售票-阿里公有云,40,8.37,6.0,20.93,15.003592814371256,6.59,11.35,6.34,32.0
2026-06-08,153,#153 电信,混合云TLS售票-阿里公有云,40,10.44,6.71,26.1,16.771714005876586,6.7,9.86,6.46,32.0
2026-06-09,153,#153 电信,混合云TLS售票-阿里公有云,40,10.23,6.48,25.59,16.193609467455623,6.34,10.15,6.58,32.0
2026-06-10,153,#153 电信,混合云TLS售票-阿里公有云,40,11.09,6.83,27.72,17.06550509731233,8.32,10.19,6.46,32.0
2026-06-11,153,#153 电信,混合云TLS售票-阿里公有云,40,10.83,7.03,27.07,17.57164278892073,7.15,10.64,7.39,32.0
2026-06-05,154,#154 联通,混合云TLS售票-阿里公有云,20,9.66,6.17,24.15,15.428271474019088,2.23,9.65,2.34,16.0
2026-06-06,154,#154 联通,混合云TLS售票-阿里公有云,20,12.67,7.11,31.68,17.77206440957886,2.16,9.66,2.28,16.0
2026-06-07,154,#154 联通,混合云TLS售票-阿里公有云,40,8.4,5.99,21.01,14.982216867469877,2.25,11.16,2.22,32.0
2026-06-08,154,#154 联通,混合云TLS售票-阿里公有云,40,10.63,6.71,26.59,16.778198284080073,2.4,9.78,2.23,32.0
2026-06-09,154,#154 联通,混合云TLS售票-阿里公有云,40,10.27,6.44,25.68,16.09681503461919,2.07,10.21,2.32,32.0
2026-06-10,154,#154 联通,混合云TLS售票-阿里公有云,40,10.34,6.82,25.85,17.05,2.17,10.24,2.19,32.0
2026-06-11,154,#154 联通,混合云TLS售票-阿里公有云,40,10.53,7.12,26.34,17.81014245014245,2.19,10.29,2.18,32.0
2026-06-05,159,#159 电信 阿里,运营两网三中心阿里云（非受控）,4,0.03,0.02,0,0.5,4.32,0.03,4.3,3.2
2026-06-06,159,#159 电信 阿里,运营两网三中心阿里云（非受控）,4,0.03,0.02,0,0.5,4.28,0.03,4.31,3.2
2026-06-07,159,#159 电信 阿里,运营两网三中心阿里云（非受控）,4,0.03,0.02,0,0.5,4.31,0.03,4.29,3.2
2026-06-08,159,#159 电信 阿里,运营两网三中心阿里云（非受控）,4,0.03,0.02,0.75,0.5,4.33,0.03,4.3,3.2
2026-06-09,159,#159 电信 阿里,运营两网三中心阿里云（非受控）,4,0.03,0.02,0.74,0.4933333333333334,4.26,0.03,4.32,3.2
2026-06-10,159,#159 电信 阿里,运营两网三中心阿里云（非受控）,4,0.03,0.02,0.73,0.48666666666666675,4.27,0.03,4.29,3.2
2026-06-11,159,#159 电信 阿里,运营两网三中心阿里云（非受控）,4,0.03,0.02,0.77,0.6,4.27,0.03,4.28,3.2
2026-06-05,160,#160 联通 阿里,运营两网三中心阿里云（非受控）,4,0.03,0.02,0,0.5,2.31,0.03,2.43,3.2
2026-06-06,160,#160 联通 阿里,运营两网三中心阿里云（非受控）,4,0.03,0.02,0,0.5,2.34,0.03,2.37,3.2
2026-06-07,160,#160 联通 阿里,运营两网三中心阿里云（非受控）,4,0.03,0.02,0,0.5,2.47,0.03,2.36,3.2
2026-06-08,160,#160 联通 阿里,运营两网三中心阿里云（非受控）,4,0.03,0.02,0.75,0.5,2.46,0.03,2.41,3.2
2026-06-09,160,#160 联通 阿里,运营两网三中心阿里云（非受控）,4,0.03,0.02,0.75,0.5,2.31,0.03,2.44,3.2
2026-06-10,160,#160 联通 阿里,运营两网三中心阿里云（非受控）,4,0.03,0.02,0.78,0.61,2.4,0.03,2.38,3.2
2026-06-11,160,#160 联通 阿里,运营两网三中心阿里云（非受控）,4,0.03,0.02,0.7,0.6,2.41,0.03,2.39,3.2
2026-06-05,161,#161 电信 腾讯,运营两网三中心腾讯云（非受控）,4,1.58,0.27,0.16,0.027341772151898737,3.24,1.76,3.73,3.2
2026-06-06,161,#161 电信 腾讯,运营两网三中心腾讯云（非受控）,4,1.95,0.46,0.19,0.044820512820512824,3.28,1.67,3.49,3.2
2026-06-07,161,#161 电信 腾讯,运营两网三中心腾讯云（非受控）,4,2.22,0.57,0.22,0.056486486486486485,3.24,1.81,3.38,3.2
2026-06-08,161,#161 电信 腾讯,运营两网三中心腾讯云（非受控）,4,1.33,0.33,33.26,8.252481203007518,3.25,2.01,3.31,3.2
2026-06-09,161,#161 电信 腾讯,运营两网三中心腾讯云（非受控）,4,1.61,0.38,40.31,9.514161490683229,3.25,1.67,3.28,3.2
2026-06-10,161,#161 电信 腾讯,运营两网三中心腾讯云（非受控）,4,1.12,0.29,27.96,7.239642857142857,3.23,1.64,3.27,3.2
2026-06-11,161,#161 电信 腾讯,运营两网三中心腾讯云（非受控）,4,2.03,0.54,50.83,13.521280788177343,3.24,1.38,3.25,3.2
2026-06-05,162,#162 联通 腾讯,运营两网三中心腾讯云（非受控）,4,1.52,0.42,0.15,0.04144736842105263,6.5,1.49,6.57,3.2
2026-06-06,162,#162 联通 腾讯,运营两网三中心腾讯云（非受控）,4,0.85,0.26,0.09,0.027529411764705886,6.51,1.5,6.54,3.2
2026-06-07,162,#162 联通 腾讯,运营两网三中心腾讯云（非受控）,4,1.29,0.15,0.13,0.01511627906976744,6.3,1.18,6.52,3.2
2026-06-08,162,#162 联通 腾讯,运营两网三中心腾讯云（非受控）,4,0.85,0.19,21.32,4.76564705882353,6.32,1.23,6.41,3.2
2026-06-09,162,#162 联通 腾讯,运营两网三中心腾讯云（非受控）,4,0.93,0.14,23.24,3.4984946236559136,6.29,1.04,6.36,3.2
2026-06-10,162,#162 联通 腾讯,运营两网三中心腾讯云（非受控）,4,1.08,0.28,27.01,7.002592592592592,6.38,0.99,6.33,3.2
2026-06-11,162,#162 联通 腾讯,运营两网三中心腾讯云（非受控）,4,1.8,0.44,44.95,10.987777777777778,6.43,1.03,6.35,3.2
2026-06-05,201,#201 电信,本地互联,300,184.39,42.48,61.46,14.159232062476274,3.64,188.75,3.75,240.0
2026-06-06,201,#201 电信,本地互联,300,188.45,45.35,62.82,15.117468824621916,3.61,186.57,3.69,240.0
2026-06-07,201,#201 电信,本地互联,300,235.47,46.85,78.49,15.616666666666667,3.78,187.51,3.65,240.0
2026-06-08,201,#201 电信,本地互联,300,200.14,47.2,66.71,15.732547216948136,3.69,211.49,3.72,240.0
2026-06-09,201,#201 电信,本地互联,300,206.95,53.69,68.98,17.89580188451317,4.41,205.82,3.71,240.0
2026-06-10,201,#201 电信,本地互联,300,179.24,47.24,59.75,15.747545190805626,3.74,206.38,4.06,240.0
2026-06-11,201,#201 电信,本地互联,300,237.66,57.82,79.22,19.273333333333333,4.76,192.81,3.9,240.0
2026-06-05,202,#202 联通,本地互联,300,184.35,34.77,61.45,11.590000000000002,1.0,105.03,1.02,240.0
2026-06-06,202,#202 联通,本地互联,300,130.66,31.7,43.55,10.565678481249414,1.01,144.69,1.01,240.0
2026-06-07,202,#202 联通,本地互联,300,110.79,31.86,36.93,10.620000000000001,1.0,137.68,1.01,240.0
2026-06-08,202,#202 联通,本地互联,300,100.2,36.47,33.4,12.156666666666665,1.0,124.23,1.0,240.0
2026-06-09,202,#202 联通,本地互联,300,107.38,38.75,35.79,12.91546377351462,1.01,112.21,1.0,240.0
2026-06-10,202,#202 联通,本地互联,300,107.33,37.17,35.78,12.391154383676513,1.01,109.8,1.01,240.0
2026-06-11,202,#202 联通,本地互联,300,116.91,42.55,38.97,14.183333333333332,1.0,108.56,1.01,240.0
2026-06-05,203,#203 移动,本地互联,200,79.1,25.68,19.77,6.418376738305942,1.69,77.3,1.65,160.0
2026-06-06,203,#203 移动,本地互联,200,89.42,25.38,22.36,6.346419145605009,1.7,78.2,1.67,160.0
2026-06-07,203,#203 移动,本地互联,200,110.46,23.95,27.62,5.988584102842658,1.64,83.81,1.68,160.0
2026-06-08,203,#203 移动,本地互联,200,88.37,27.2,22.09,6.7992305080909805,1.66,97.14,1.66,160.0
2026-06-09,203,#203 移动,本地互联,200,92.91,29.15,23.23,7.288284361209772,1.65,92.75,1.66,160.0
2026-06-10,203,#203 移动,本地互联,200,105.45,28.02,26.36,7.004335704125178,1.61,92.83,1.66,160.0
2026-06-11,203,#203 移动,本地互联,200,107.18,34.06,26.79,8.513411084157491,1.68,99.14,1.64,160.0
